2024-03-05 12:01:56 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 52 ms to scan 1 urls, producing 3 keys and 10 values 
2024-03-05 12:01:56 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 494 ms to scan 220 urls, producing 0 keys and 0 values 
2024-03-05 12:01:56 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 33 ms to scan 1 urls, producing 1 keys and 5 values 
2024-03-05 12:01:56 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 27 ms to scan 1 urls, producing 1 keys and 7 values 
2024-03-05 12:01:57 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 26 ms to scan 1 urls, producing 2 keys and 8 values 
2024-03-05 12:01:57 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 319 ms to scan 220 urls, producing 0 keys and 0 values 
2024-03-05 12:01:57 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[d580425c-eb32-4c10-860d-90ab496744b7] RpcClient init label, labels = {module=naming, source=sdk}
2024-03-05 12:01:57 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[d580425c-eb32-4c10-860d-90ab496744b7] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
2024-03-05 12:01:57 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[d580425c-eb32-4c10-860d-90ab496744b7] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
2024-03-05 12:01:57 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[d580425c-eb32-4c10-860d-90ab496744b7] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
2024-03-05 12:01:57 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[d580425c-eb32-4c10-860d-90ab496744b7] Try to connect to server on start up, server: {serverIp = '116.62.71.84', server main port = 8848}
2024-03-05 12:01:59 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[d580425c-eb32-4c10-860d-90ab496744b7] Success to connect to server [116.62.71.84:8848] on start up, connectionId = 1709611320260_120.227.131.104_44066
2024-03-05 12:01:59 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[d580425c-eb32-4c10-860d-90ab496744b7] Notify connected event to listeners.
2024-03-05 12:01:59 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[d580425c-eb32-4c10-860d-90ab496744b7] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2024-03-05 12:01:59 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[d580425c-eb32-4c10-860d-90ab496744b7] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$856/1836406440
2024-03-05 12:02:00 |WARN  |main |LoadBalancerCacheAutoConfiguration.java:82 |org.springframework.cloud.loadbalancer.config.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger |Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2024-03-05 12:02:01 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-10201"]
2024-03-05 12:02:01 |INFO  |main |TomcatWebServer.java:220 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 10201 (http) with context path ''
2024-03-05 12:02:01 |INFO  |main |NacosServiceRegistry.java:65 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |nacos registry, DEFAULT_GROUP video 192.168.10.9:10201 register finished
2024-03-05 12:02:01 |INFO  |main |DocumentationPluginsBootstrapper.java:93 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Documentation plugins bootstrapped
2024-03-05 12:02:01 |INFO  |main |AbstractDocumentationPluginsBootstrapper.java:79 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 1 custom documentation plugin(s)
2024-03-05 12:02:01 |INFO  |main |ApiListingReferenceScanner.java:44 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2024-03-05 12:02:01 |INFO  |main |CachingOperationNameGenerator.java:41 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: getCollectGroupUsingGET_1
2024-03-05 12:02:01 |INFO  |main |CachingOperationNameGenerator.java:41 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: getCommentUsingGET_1
2024-03-05 12:02:01 |INFO  |main |CachingOperationNameGenerator.java:41 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: getDanmakuUsingGET_1
2024-03-05 12:02:02 |INFO  |main |StartupInfoLogger.java:61 |ljl.bilibili.video.VideoApplication |Started VideoApplication in 27.818 seconds (JVM running for 30.677)
2024-03-05 12:02:53 |INFO  |http-nio-10201-exec-1 |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-05 12:02:53 |INFO  |http-nio-10201-exec-1 |FrameworkServlet.java:525 |org.springframework.web.servlet.DispatcherServlet |Initializing Servlet 'dispatcherServlet'
2024-03-05 12:02:53 |INFO  |http-nio-10201-exec-1 |FrameworkServlet.java:547 |org.springframework.web.servlet.DispatcherServlet |Completed initialization in 6 ms
2024-03-05 12:02:53 |INFO  |http-nio-10201-exec-1 |CommentController.java:23 |ljl.bilibili.video.controller.audience_reactions.comment.CommentController |评论评论
2024-03-05 12:02:53 |INFO  |http-nio-10201-exec-1 |CommentController.java:24 |ljl.bilibili.video.controller.audience_reactions.comment.CommentController |CommentRequest(userId=1, videoId=181, parentId=0, content=测试, topId=0)
2024-03-05 12:02:53 |INFO  |http-nio-10201-exec-1 |CommentController.java:25 |ljl.bilibili.video.controller.audience_reactions.comment.CommentController |

2024-03-05 12:02:53 |INFO  |http-nio-10201-exec-1 |CommentController.java:26 |ljl.bilibili.video.controller.audience_reactions.comment.CommentController |

2024-03-05 12:02:53 |INFO  |http-nio-10201-exec-1 |CommentController.java:27 |ljl.bilibili.video.controller.audience_reactions.comment.CommentController |

2024-03-05 12:02:53 |INFO  |http-nio-10201-exec-1 |DruidDataSource.java:975 |com.alibaba.druid.pool.DruidDataSource |{dataSource-1} inited
2024-03-05 12:03:57 |INFO  |Thread-13 |ZipkinAutoConfiguration.java:144 |org.springframework.cloud.sleuth.autoconfig.zipkin2.ZipkinAutoConfiguration |Flushing remaining spans on shutdown
2024-03-05 12:03:57 |WARN  |Thread-33 |HttpClientBeanHolder.java:108 |com.alibaba.nacos.common.http.HttpClientBeanHolder |[HttpClientBeanHolder] Start destroying common HttpClient
2024-03-05 12:03:57 |WARN  |Thread-33 |HttpClientBeanHolder.java:114 |com.alibaba.nacos.common.http.HttpClientBeanHolder |[HttpClientBeanHolder] Destruction of the end
2024-03-05 12:03:57 |WARN  |Thread-30 |NotifyCenter.java:136 |com.alibaba.nacos.common.notify.NotifyCenter |[NotifyCenter] Start destroying Publisher
2024-03-05 12:03:57 |WARN  |Thread-30 |NotifyCenter.java:153 |com.alibaba.nacos.common.notify.NotifyCenter |[NotifyCenter] Destruction of the end
2024-03-05 12:03:57 |INFO  |SpringApplicationShutdownHook |NacosServiceRegistry.java:80 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |De-registering from Nacos Server now...
2024-03-05 12:03:57 |INFO  |SpringApplicationShutdownHook |NacosServiceRegistry.java:100 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |De-registration finished.
2024-03-05 12:03:57 |INFO  |SpringApplicationShutdownHook |DruidDataSource.java:2063 |com.alibaba.druid.pool.DruidDataSource |{dataSource-1} closing ...
2024-03-05 12:03:57 |INFO  |SpringApplicationShutdownHook |DruidDataSource.java:2136 |com.alibaba.druid.pool.DruidDataSource |{dataSource-1} closed
2024-03-05 12:04:24 |INFO  |main |SpringApplication.java:645 |ljl.bilibili.video.VideoApplication |No active profile set, falling back to 1 default profile: "default"
2024-03-05 12:04:27 |INFO  |main |GenericScope.java:283 |org.springframework.cloud.context.scope.GenericScope |BeanFactory id=47685548-30a6-32a6-9e5b-89716173b52c
2024-03-05 12:04:28 |INFO  |main |TomcatWebServer.java:108 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 10201 (http)
2024-03-05 12:04:28 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-10201"]
2024-03-05 12:04:28 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2024-03-05 12:04:28 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.65]
2024-03-05 12:04:28 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2024-03-05 12:04:28 |INFO  |main |ServletWebServerApplicationContext.java:290 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 4717 ms
2024-03-05 12:04:29 |INFO  |main |MybatisPlusJoinAutoConfiguration.java:140 |com.github.yulichang.autoconfigure.MybatisPlusJoinAutoConfiguration |mybatis plus join properties config complete
2024-03-05 12:04:30 |INFO  |main |MybatisPlusJoinAutoConfiguration.java:140 |com.github.yulichang.autoconfigure.MybatisPlusJoinAutoConfiguration |mybatis plus join SqlInjector init
2024-03-05 12:04:33 |INFO  |main |WebMvcPropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.WebMvcPropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2ControllerWebMvc#getDocumentation(String, HttpServletRequest)]
2024-03-05 12:04:35 |INFO  |main |RpcClientFactory.java:80 |com.alibaba.nacos.common.remote.client |[RpcClientFactory] create a new rpc client of b5981bab-dd6f-4f2e-a432-0f97136fad37
2024-03-05 12:04:35 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 64 ms to scan 1 urls, producing 3 keys and 6 values 
2024-03-05 12:04:35 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 19 ms to scan 1 urls, producing 4 keys and 9 values 
2024-03-05 12:04:35 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 28 ms to scan 1 urls, producing 3 keys and 10 values 
2024-03-05 12:04:35 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 292 ms to scan 220 urls, producing 0 keys and 0 values 
2024-03-05 12:04:35 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 24 ms to scan 1 urls, producing 1 keys and 5 values 
2024-03-05 12:04:35 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 21 ms to scan 1 urls, producing 1 keys and 7 values 
2024-03-05 12:04:35 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 40 ms to scan 1 urls, producing 2 keys and 8 values 
2024-03-05 12:04:36 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 295 ms to scan 220 urls, producing 0 keys and 0 values 
2024-03-05 12:04:36 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[b5981bab-dd6f-4f2e-a432-0f97136fad37] RpcClient init label, labels = {module=naming, source=sdk}
2024-03-05 12:04:36 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[b5981bab-dd6f-4f2e-a432-0f97136fad37] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
2024-03-05 12:04:36 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[b5981bab-dd6f-4f2e-a432-0f97136fad37] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
2024-03-05 12:04:36 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[b5981bab-dd6f-4f2e-a432-0f97136fad37] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
2024-03-05 12:04:36 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[b5981bab-dd6f-4f2e-a432-0f97136fad37] Try to connect to server on start up, server: {serverIp = '116.62.71.84', server main port = 8848}
2024-03-05 12:04:38 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[b5981bab-dd6f-4f2e-a432-0f97136fad37] Success to connect to server [116.62.71.84:8848] on start up, connectionId = 1709611478988_120.227.131.104_44168
2024-03-05 12:04:38 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[b5981bab-dd6f-4f2e-a432-0f97136fad37] Notify connected event to listeners.
2024-03-05 12:04:38 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[b5981bab-dd6f-4f2e-a432-0f97136fad37] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2024-03-05 12:04:38 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[b5981bab-dd6f-4f2e-a432-0f97136fad37] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$856/1029176222
2024-03-05 12:04:40 |WARN  |main |LoadBalancerCacheAutoConfiguration.java:82 |org.springframework.cloud.loadbalancer.config.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger |Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2024-03-05 12:04:40 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-10201"]
2024-03-05 12:04:40 |INFO  |main |TomcatWebServer.java:220 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 10201 (http) with context path ''
2024-03-05 12:04:40 |INFO  |main |NacosServiceRegistry.java:65 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |nacos registry, DEFAULT_GROUP video 192.168.10.9:10201 register finished
2024-03-05 12:04:40 |INFO  |main |DocumentationPluginsBootstrapper.java:93 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Documentation plugins bootstrapped
2024-03-05 12:04:40 |INFO  |main |AbstractDocumentationPluginsBootstrapper.java:79 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 1 custom documentation plugin(s)
2024-03-05 12:04:40 |INFO  |main |ApiListingReferenceScanner.java:44 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2024-03-05 12:04:41 |INFO  |main |CachingOperationNameGenerator.java:41 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: getCollectGroupUsingGET_1
2024-03-05 12:04:41 |INFO  |main |CachingOperationNameGenerator.java:41 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: getCommentUsingGET_1
2024-03-05 12:04:41 |INFO  |main |CachingOperationNameGenerator.java:41 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: getDanmakuUsingGET_1
2024-03-05 12:04:41 |INFO  |main |StartupInfoLogger.java:61 |ljl.bilibili.video.VideoApplication |Started VideoApplication in 20.486 seconds (JVM running for 22.47)
2024-03-05 12:05:19 |INFO  |http-nio-10201-exec-1 |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-05 12:05:19 |INFO  |http-nio-10201-exec-1 |FrameworkServlet.java:525 |org.springframework.web.servlet.DispatcherServlet |Initializing Servlet 'dispatcherServlet'
2024-03-05 12:05:19 |INFO  |http-nio-10201-exec-1 |FrameworkServlet.java:547 |org.springframework.web.servlet.DispatcherServlet |Completed initialization in 8 ms
2024-03-05 12:05:19 |INFO  |http-nio-10201-exec-1 |CommentController.java:23 |ljl.bilibili.video.controller.audience_reactions.comment.CommentController |评论评论
2024-03-05 12:05:19 |INFO  |http-nio-10201-exec-1 |CommentController.java:24 |ljl.bilibili.video.controller.audience_reactions.comment.CommentController |CommentRequest(userId=1, videoId=181, parentId=null, content=测试, topId=null)
2024-03-05 12:05:19 |INFO  |http-nio-10201-exec-1 |CommentController.java:25 |ljl.bilibili.video.controller.audience_reactions.comment.CommentController |

2024-03-05 12:05:19 |INFO  |http-nio-10201-exec-1 |CommentController.java:26 |ljl.bilibili.video.controller.audience_reactions.comment.CommentController |

2024-03-05 12:05:19 |INFO  |http-nio-10201-exec-1 |CommentController.java:27 |ljl.bilibili.video.controller.audience_reactions.comment.CommentController |

2024-03-05 12:05:20 |INFO  |http-nio-10201-exec-1 |DruidDataSource.java:975 |com.alibaba.druid.pool.DruidDataSource |{dataSource-1} inited
2024-03-05 12:10:36 |INFO  |Thread-33 |TimeBasedFilter.java:24 |ljl.bilibili.filter.TimeBasedFilter |






2024-03-05 12:10:36 |WARN  |Thread-33 |HttpClientBeanHolder.java:108 |com.alibaba.nacos.common.http.HttpClientBeanHolder |[HttpClientBeanHolder] Start destroying common HttpClient
2024-03-05 12:10:36 |WARN  |Thread-33 |HttpClientBeanHolder.java:114 |com.alibaba.nacos.common.http.HttpClientBeanHolder |[HttpClientBeanHolder] Destruction of the end
2024-03-05 12:10:36 |WARN  |Thread-30 |NotifyCenter.java:136 |com.alibaba.nacos.common.notify.NotifyCenter |[NotifyCenter] Start destroying Publisher
2024-03-05 12:10:36 |WARN  |Thread-30 |NotifyCenter.java:153 |com.alibaba.nacos.common.notify.NotifyCenter |[NotifyCenter] Destruction of the end
2024-03-05 12:10:36 |INFO  |Thread-17 |ZipkinAutoConfiguration.java:144 |org.springframework.cloud.sleuth.autoconfig.zipkin2.ZipkinAutoConfiguration |Flushing remaining spans on shutdown
2024-03-05 12:10:37 |INFO  |SpringApplicationShutdownHook |NacosServiceRegistry.java:80 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |De-registering from Nacos Server now...
2024-03-05 12:10:37 |INFO  |SpringApplicationShutdownHook |NacosServiceRegistry.java:100 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |De-registration finished.
2024-03-05 12:10:37 |INFO  |SpringApplicationShutdownHook |DruidDataSource.java:2063 |com.alibaba.druid.pool.DruidDataSource |{dataSource-1} closing ...
2024-03-05 12:10:37 |INFO  |SpringApplicationShutdownHook |DruidDataSource.java:2136 |com.alibaba.druid.pool.DruidDataSource |{dataSource-1} closed
2024-03-05 12:11:08 |INFO  |main |SpringApplication.java:645 |ljl.bilibili.video.VideoApplication |No active profile set, falling back to 1 default profile: "default"
2024-03-05 12:11:10 |INFO  |main |GenericScope.java:283 |org.springframework.cloud.context.scope.GenericScope |BeanFactory id=a0856b03-0b08-3431-abb1-3e0aa20fa9ee
2024-03-05 12:11:11 |INFO  |main |TomcatWebServer.java:108 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 10201 (http)
2024-03-05 12:11:11 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-10201"]
2024-03-05 12:11:11 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2024-03-05 12:11:11 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.65]
2024-03-05 12:11:11 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2024-03-05 12:11:11 |INFO  |main |ServletWebServerApplicationContext.java:290 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 3624 ms
2024-03-05 12:11:12 |INFO  |main |MybatisPlusJoinAutoConfiguration.java:140 |com.github.yulichang.autoconfigure.MybatisPlusJoinAutoConfiguration |mybatis plus join properties config complete
2024-03-05 12:11:12 |INFO  |main |MybatisPlusJoinAutoConfiguration.java:140 |com.github.yulichang.autoconfigure.MybatisPlusJoinAutoConfiguration |mybatis plus join SqlInjector init
2024-03-05 12:11:18 |INFO  |main |WebMvcPropertySourcedRequestMappingHandlerMapping.java:69 |springfox.documentation.spring.web.WebMvcPropertySourcedRequestMappingHandlerMapping |Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2ControllerWebMvc#getDocumentation(String, HttpServletRequest)]
2024-03-05 12:11:20 |INFO  |main |RpcClientFactory.java:80 |com.alibaba.nacos.common.remote.client |[RpcClientFactory] create a new rpc client of cc4fd008-5b17-4d67-9f3f-ae6f53ba11ce
2024-03-05 12:11:20 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 50 ms to scan 1 urls, producing 3 keys and 6 values 
2024-03-05 12:11:20 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 23 ms to scan 1 urls, producing 4 keys and 9 values 
2024-03-05 12:11:20 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 15 ms to scan 1 urls, producing 3 keys and 10 values 
2024-03-05 12:11:21 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 175 ms to scan 220 urls, producing 0 keys and 0 values 
2024-03-05 12:11:21 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 10 ms to scan 1 urls, producing 1 keys and 5 values 
2024-03-05 12:11:21 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 12 ms to scan 1 urls, producing 1 keys and 7 values 
2024-03-05 12:11:21 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 11 ms to scan 1 urls, producing 2 keys and 8 values 
2024-03-05 12:11:21 |INFO  |main |Reflections.java:232 |org.reflections.Reflections |Reflections took 126 ms to scan 220 urls, producing 0 keys and 0 values 
2024-03-05 12:11:21 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[cc4fd008-5b17-4d67-9f3f-ae6f53ba11ce] RpcClient init label, labels = {module=naming, source=sdk}
2024-03-05 12:11:21 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[cc4fd008-5b17-4d67-9f3f-ae6f53ba11ce] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
2024-03-05 12:11:21 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[cc4fd008-5b17-4d67-9f3f-ae6f53ba11ce] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
2024-03-05 12:11:21 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[cc4fd008-5b17-4d67-9f3f-ae6f53ba11ce] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
2024-03-05 12:11:21 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[cc4fd008-5b17-4d67-9f3f-ae6f53ba11ce] Try to connect to server on start up, server: {serverIp = '116.62.71.84', server main port = 8848}
2024-03-05 12:11:23 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[cc4fd008-5b17-4d67-9f3f-ae6f53ba11ce] Success to connect to server [116.62.71.84:8848] on start up, connectionId = 1709611884224_120.227.131.104_44789
2024-03-05 12:11:23 |INFO  |com.alibaba.nacos.client.remote.worker |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[cc4fd008-5b17-4d67-9f3f-ae6f53ba11ce] Notify connected event to listeners.
2024-03-05 12:11:23 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[cc4fd008-5b17-4d67-9f3f-ae6f53ba11ce] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
2024-03-05 12:11:23 |INFO  |main |LoggerUtils.java:60 |com.alibaba.nacos.common.remote.client |[cc4fd008-5b17-4d67-9f3f-ae6f53ba11ce] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$862/1486334689
2024-03-05 12:11:25 |WARN  |main |LoadBalancerCacheAutoConfiguration.java:82 |org.springframework.cloud.loadbalancer.config.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger |Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2024-03-05 12:11:25 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-10201"]
2024-03-05 12:11:25 |INFO  |main |TomcatWebServer.java:220 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat started on port(s): 10201 (http) with context path ''
2024-03-05 12:11:25 |INFO  |main |NacosServiceRegistry.java:65 |com.alibaba.cloud.nacos.registry.NacosServiceRegistry |nacos registry, DEFAULT_GROUP video 192.168.10.9:10201 register finished
2024-03-05 12:11:25 |INFO  |main |DocumentationPluginsBootstrapper.java:93 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Documentation plugins bootstrapped
2024-03-05 12:11:25 |INFO  |main |AbstractDocumentationPluginsBootstrapper.java:79 |springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper |Found 1 custom documentation plugin(s)
2024-03-05 12:11:26 |INFO  |main |ApiListingReferenceScanner.java:44 |springfox.documentation.spring.web.scanners.ApiListingReferenceScanner |Scanning for api listing references
2024-03-05 12:11:26 |INFO  |main |CachingOperationNameGenerator.java:41 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: getCollectGroupUsingGET_1
2024-03-05 12:11:26 |INFO  |main |CachingOperationNameGenerator.java:41 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: getCommentUsingGET_1
2024-03-05 12:11:26 |INFO  |main |CachingOperationNameGenerator.java:41 |springfox.documentation.spring.web.readers.operation.CachingOperationNameGenerator |Generating unique operation named: getDanmakuUsingGET_1
2024-03-05 12:11:26 |INFO  |main |StartupInfoLogger.java:61 |ljl.bilibili.video.VideoApplication |Started VideoApplication in 20.904 seconds (JVM running for 22.458)
2024-03-05 12:11:40 |INFO  |http-nio-10201-exec-1 |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-03-05 12:11:40 |INFO  |http-nio-10201-exec-1 |FrameworkServlet.java:525 |org.springframework.web.servlet.DispatcherServlet |Initializing Servlet 'dispatcherServlet'
2024-03-05 12:11:40 |INFO  |http-nio-10201-exec-1 |FrameworkServlet.java:547 |org.springframework.web.servlet.DispatcherServlet |Completed initialization in 2 ms
2024-03-05 12:11:40 |INFO  |http-nio-10201-exec-1 |CommentController.java:23 |ljl.bilibili.video.controller.audience_reactions.comment.CommentController |评论评论
